,FARM_NO,FARM_PIG_NO,BUNMAN_SANCHA,GYOBAE_DT,BUNMAN_DT,CHONGSAN,SILSAN,EUDUSU,EUKG,CHOGYOBAE,JAE
948,624,535,6,20161114,20170312,7,6,6,48.0,,
949,624,535,7,20170410,20170804,15,10,9,76.5,,4.0
950,624,535,8,20170906,20180101,6,6,6,48.0,,6.0
951,624,535,9,20180129,20180525,11,11,8,52.0,,4.0
952,624,536,1,20130519,20130910,17,15,9,54.0,255.0,
953,624,536,2,20131009,20140202,11,9,7,70.0,,6.0
954,624,537,1,20130607,20130929,13,10,9,67.5,275.0,
955,624,537,2,20131029,20140219,15,13,10,90.0,,5.0
956,624,537,3,20140415,20140807,16,16,11,88.0,,26.0
957,624,967,1,20140212,20140610,4,4,12,78.0,,
958,624,967,2,20150720,20151113,2,2,3,30.0,,
959,624,967,3,20151214,20160407,9,9,7,70.0,,4.0
960,624,967,4,20160509,20160829,13,7,8,76.0,,4.0
961,624,967,5,20161004,20170127,4,4,2,16.0,,5.0
962,624,968,1,20130812,20131206,12,11,9,63.0,291.0,
963,624,968,2,20131231,20140426,13,11,11,88.0,,5.0
964,624,968,3,20140528,20140920,9,8,8,64.0,,6.0
965,624,968,4,20150219,20150626,7,7,7,49.0,,
966,624,968,5,20150721,20151113,11,11,10,80.0,,5.0
967,624,968,6,20160122,20160517,13,12,10,90.0,,
968,624,969,1,20130720,20131113,12,11,9,63.0,261.0,
969,624,969,2,20131211,20140405,14,13,9,72.0,,6.0
970,624,969,3,20140507,20140830,11,11,9,67.5,,6.0
971,624,969,4,20140930,20150124,10,6,8,60.0,,5.0
972,624,969,5,20150223,20150620,12,10,10,70.0,,5.0
973,624,969,6,20150721,20151113,15,12,10,90.0,,5.0
974,624,969,7,20151215,20160408,5,4,5,40.0,,5.0
975,624,969,8,20160510,20160903,2,2,0,0.0,,5.0
976,624,970,1,20130903,20131228,11,11,11,77.0,298.0,
977,624,970,2,20140122,20140519,15,13,12,96.0,,6.0
978,624,970,3,20140617,20141010,7,7,10,90.0,,5.0
979,624,970,4,20141111,20150307,13,13,10,70.0,,5.0
980,624,970,5,20150407,20150731,16,12,10,90.0,,5.0
981,624,970,6,20150903,20151225,14,14,11,88.0,,7.0
982,624,970,7,20160126,20160520,17,13,10,90.0,,5.0
983,624,970,8,20160621,20161014,15,12,11,82.5,,5.0
984,624,970,9,20170224,20170623,2,2,4,28.0,,
985,624,971,1,20130718,20131110,9,9,8,56.0,266.0,
986,624,971,2,20131210,20140405,10,10,10,80.0,,5.0
987,624,971,3,20140506,20140828,11,11,9,72.0,,5.0
988,624,971,4,20140930,20150122,15,14,8,60.0,,5.0
989,624,971,5,20150223,20150617,14,13,8,60.0,,5.0
990,624,971,6,20151229,20160422,13,11,0,0.0,,
991,624,972,1,20131106,20140228,8,4,12,96.0,268.0,
992,624,972,2,20140325,20140719,11,9,10,75.0,,5.0
993,624,972,3,20140819,20141212,10,10,10,70.0,,5.0
994,624,972,4,20150113,20150507,11,8,8,64.0,,5.0
995,624,972,5,20150609,20151001,13,9,6,48.0,,5.0
996,624,972,6,20151104,20160226,12,12,12,84.0,,6.0
997,624,972,7,20160329,20160721,11,6,0,0.0,,5.0
998,624,972,8,20160822,20161214,13,11,4,32.0,,5.0
999,624,973,1,20130805,20131128,10,10,10,75.0,269.0,
1000,624,973,2,20140101,20140426,15,14,11,88.0,,6.0
1001,624,973,3,20140527,20140919,12,12,10,75.0,,5.0
1002,624,973,4,20141021,20150213,13,13,10,90.0,,5.0
1003,624,973,5,20150316,20150708,15,14,12,84.0,,7.0
1004,624,973,6,20150811,20151205,7,5,10,70.0,,11.0
1005,624,973,7,20160913,20170108,7,6,8,52.0,,
1006,624,973,8,20170207,20170603,9,8,6,42.0,,5.0
1007,624,973,9,20170703,20171028,4,4,8,44.0,,4.0
1008,624,974,1,20130811,20131206,9,9,8,56.0,283.0,
1009,624,974,2,20150320,20150712,13,13,10,85.0,,
1010,624,974,3,20150811,20151205,13,13,10,75.0,,5.0
1011,624,974,4,20160105,20160430,9,9,11,77.0,,5.0
1012,624,974,5,20160530,20160922,13,13,9,81.0,,7.0
1013,624,974,6,20161025,20170219,5,5,5,45.0,,5.0
1014,624,974,7,20170320,20170713,11,10,8,60.0,,4.0
1015,624,974,8,20170815,20171209,9,9,8,64.0,,5.0
1016,624,974,9,20180109,20180506,5,5,10,70.0,,5.0
1017,624,975,1,20130807,20131128,9,9,10,80.0,271.0,
1018,624,975,2,20131231,20140426,11,10,11,88.0,,5.0
1019,624,975,3,20140527,20140919,14,11,10,70.0,,5.0
1020,624,975,4,20141024,20150216,21,18,8,60.0,,18.0
1021,624,975,5,20150317,20150710,18,16,11,88.0,,5.0
1022,624,975,6,20150811,20151205,14,14,11,77.0,,5.0
1023,624,975,7,20160125,20160523,13,12,11,88.0,,25.0
1024,624,975,8,20170103,20170429,9,9,11,77.0,,
1025,624,975,9,20170613,20171007,2,1,7,49.0,,18.0
1026,624,975,10,20171106,20180303,4,3,8,80.0,,4.0
1027,624,975,11,20180403,20180729,6,6,8,0.0,,5.0
1028,624,976,1,20130717,20131109,10,10,8,60.0,250.0,
1029,624,976,2,20140119,20140513,14,12,10,90.0,,
1030,624,976,3,20140618,20141011,11,10,6,48.0,,6.0
1031,624,976,4,20150228,20150624,8,8,8,56.0,,
1032,624,976,5,20150722,20151113,10,10,9,76.5,,6.0
1033,624,976,6,20151215,20160401,14,0,0,0.0,,5.0
1034,624,976,7,20160527,20160920,7,7,7,84.0,,55.0
1035,624,977,1,20130806,20131129,16,14,12,84.0,242.0,
1036,624,977,2,20140211,20140610,11,11,9,72.0,,
1037,624,977,3,20140801,20141122,16,14,11,82.5,,29.0
1038,624,977,4,20141223,20150417,15,15,9,67.5,,5.0
1039,624,977,5,20150526,20150920,14,8,8,56.0,,12.0
1040,624,977,6,20151013,20160207,15,14,10,80.0,,5.0
1041,624,977,7,20160308,20160702,6,5,7,63.0,,5.0
1042,624,977,8,20160802,20161127,3,3,3,24.0,,5.0
1043,624,977,9,20161226,20170422,6,5,8,56.0,,4.0
1044,624,977,10,20170523,20170916,3,3,6,54.0,,5.0
1045,624,977,11,20171017,20180303,7,6,6,0.0,,5.0
1046,624,978,1,20130805,20131128,14,14,11,77.0,241.0,
1047,624,978,2,20131231,20140426,10,10,10,80.0,,5.0
1048,624,978,3,20140527,20140919,12,11,10,70.0,,5.0
1049,624,978,4,20141022,20150216,8,8,10,80.0,,6.0
1050,624,978,5,20150317,20150710,17,15,10,70.0,,5.0
1051,624,978,6,20150811,20151207,6,0,7,49.0,,11.0
1052,624,978,7,20160628,20161021,11,8,8,52.0,,
1053,624,979,1,20140526,20140919,8,8,10,70.0,,
1054,624,979,2,20141022,20150216,9,7,9,81.0,,6.0
1055,624,979,3,20150316,20150710,14,14,11,88.0,,7.0
1056,624,979,4,20150811,20151207,12,12,10,70.0,,5.0
1057,624,979,5,20160104,20160722,11,7,7,63.0,,4.0
1058,624,979,6,20160822,20161217,9,8,8,0.0,,5.0
1059,624,979,7,20170206,20170603,7,6,7,49.0,,14.0
1060,624,979,8,20170704,20171029,8,4,0,0.0,,5.0
1061,624,980,1,20140325,20140719,6,5,9,72.0,,
1062,624,980,2,20140819,20141212,9,9,7,70.0,,5.0
1063,624,980,3,20150317,20150710,7,7,10,75.0,,
1064,624,980,4,20150810,20151205,17,17,11,82.5,,4.0
1065,624,980,5,20160315,20160708,12,12,12,78.0,,
1066,624,980,6,20160802,20161126,17,16,12,90.0,,5.0
1067,624,980,7,20161227,20170422,12,10,10,75.0,,5.0
1068,624,980,8,20170523,20170915,14,12,9,81.0,,5.0
1069,624,980,9,20171017,20180210,15,14,11,88.0,,5.0
1070,624,981,1,20130806,20131127,14,14,10,80.0,250.0,
1071,624,981,2,20131231,20140426,16,16,9,72.0,,5.0
1072,624,981,3,20140527,20140918,17,14,10,80.0,,5.0
1073,624,981,4,20141021,20150213,20,18,10,90.0,,8.0
1074,624,981,5,20150316,20150710,3,3,10,80.0,,7.0
1075,624,981,6,20150811,20151203,13,9,10,85.0,,5.0
1076,624,981,7,20160104,20160429,11,11,11,77.0,,4.0
1077,624,982,1,20130809,20131202,12,12,11,77.0,245.0,
1078,624,982,2,20131231,20140426,9,9,10,90.0,,5.0
1079,624,982,3,20150319,20150712,13,11,10,75.0,,
1080,624,982,4,20150811,20151204,14,10,10,90.0,,5.0
1081,624,982,5,20160124,20160518,9,8,8,80.0,,
1082,624,983,1,20130915,20140110,14,13,9,63.0,290.0,
1083,624,983,2,20140212,20140607,14,12,10,70.0,,6.0
1084,624,983,3,20140709,20141101,14,8,7,49.0,,6.0
1085,624,983,4,20141202,20150327,19,16,9,90.0,,5.0
1086,624,983,5,20150427,20150820,20,11,10,75.0,,4.0
1087,624,984,1,20130805,20131127,16,13,12,84.0,241.0,
1088,624,984,2,20140101,20140426,5,5,9,72.0,,6.0
1089,624,984,3,20140527,20140917,12,9,0,0.0,,5.0
1090,624,984,4,20141110,20150305,10,10,10,80.0,,35.0
1091,624,984,5,20150408,20150802,3,2,7,70.0,,6.0
1092,624,984,6,20150902,20151225,12,12,10,80.0,,6.0
1093,624,984,7,20160125,20160518,14,11,11,0.0,,4.0
1094,624,984,8,20160621,20161014,7,6,10,80.0,,5.0
1095,624,984,9,20161115,20170310,5,3,8,56.0,,5.0
1096,624,985,1,20130805,20131127,7,7,9,76.5,249.0,
1097,624,985,2,20131231,20140424,16,15,10,80.0,,5.0
1098,624,985,3,20140527,20140917,14,12,13,91.0,,5.0
1099,624,985,4,20151217,20160408,17,11,7,59.5,,
1100,624,986,1,20130810,20131203,14,14,12,78.0,254.0,
1101,624,986,2,20140101,20140426,12,12,11,99.0,,6.0
1102,624,986,3,20140527,20140919,11,10,9,67.5,,5.0
1103,624,986,4,20141021,20150213,11,11,9,81.0,,5.0
1104,624,986,5,20150316,20150709,14,13,9,72.0,,7.0
1105,624,986,6,20150810,20151204,11,11,10,80.0,,4.0
1106,624,986,7,20160907,20170101,17,15,11,99.0,,
1107,624,986,8,20170206,20170602,12,10,9,63.0,,4.0
1108,624,986,9,20170703,20171028,15,12,9,63.0,,4.0
1109,624,2960,1,20140325,20140716,14,14,11,71.5,257.0,
1110,624,2960,2,20150302,20150624,13,13,12,72.0,,
1111,624,2960,3,20150811,20151204,15,10,11,82.5,,26.0
1112,624,2960,4,20160105,20160430,11,11,10,70.0,,5.0
1113,624,2960,5,20160531,20160923,10,10,10,90.0,,5.0
1114,624,2960,6,20161025,20170214,11,11,10,75.0,,5.0
1115,624,2960,7,20170321,20170711,10,10,8,64.0,,5.0
1116,624,2960,8,20170814,20171206,12,12,9,72.0,,4.0
1117,624,2960,9,20180109,20180504,13,13,9,67.5,,5.0
1118,624,2960,10,20180605,20180926,2,0,8,48.0,,5.0
1119,624,2960,11,20181030,20190222,11,7,0,0.0,,5.0
1120,624,2961,1,20140302,20140625,17,11,12,84.0,234.0,
1121,624,2961,2,20140728,20141121,9,8,7,56.0,,7.0
1122,624,2961,3,20141223,20150417,19,13,10,75.0,,5.0
1123,624,2961,4,20150519,20150911,12,9,0,0.0,,5.0
1124,624,2962,1,20140325,20140718,16,11,11,71.5,257.0,
1125,624,2962,2,20140928,20150122,13,13,10,70.0,,50.0
1126,624,2962,3,20150223,20150620,12,9,9,67.5,,5.0
1127,624,2962,4,20151028,20160222,11,11,10,80.0,,104.0
1128,624,2963,1,20140302,20140627,14,14,11,77.0,234.0,
1129,624,2963,2,20140728,20141121,8,8,8,72.0,,7.0
1130,624,2963,3,20141223,20150417,12,12,10,85.0,,5.0
1131,624,2963,4,20150519,20150912,11,11,9,81.0,,5.0
1132,624,2963,5,20151013,20160205,10,10,10,80.0,,5.0
1133,624,2963,6,20160308,20160630,8,8,8,80.0,,5.0
1134,624,2963,7,20160802,20161125,10,9,9,72.0,,5.0
1135,624,2963,8,20161227,20170422,10,9,9,63.0,,5.0
1136,624,2963,9,20170523,20170916,14,5,0,0.0,,5.0
1137,624,2965,1,20140304,20140627,12,11,11,77.0,242.0,
1138,624,2965,2,20140729,20141121,9,4,7,59.5,,8.0
1139,624,2965,3,20141224,20150417,6,6,8,64.0,,6.0
1140,624,2965,4,20150628,20151020,12,12,10,100.0,,45.0
1141,624,2965,5,20151123,20160318,7,7,11,99.0,,4.0
1142,624,2965,6,20160801,20161124,11,9,9,72.0,,
1143,624,2965,7,20161227,20170422,7,6,0,0.0,,5.0
1144,624,2966,1,20140325,20140719,13,10,10,60.0,257.0,
1145,624,2966,2,20140820,20141214,14,11,9,67.5,,11.0
1146,624,2966,3,20150113,20150509,12,12,10,90.0,,5.0
1147,624,2966,4,20150608,20151002,10,10,10,80.0,,6.0
1148,624,2966,5,20151102,20160225,11,11,11,77.0,,4.0
1149,624,2966,6,20160329,20160723,15,11,10,75.0,,12.0
1150,624,2966,7,20170116,20170514,16,15,11,77.0,,
1151,624,2966,8,20170613,20171007,9,8,0,0.0,,5.0
1152,624,2968,1,20140325,20140719,14,11,10,65.0,244.0,
1153,624,2968,2,20140818,20141212,18,17,9,72.0,,9.0
1154,624,2968,3,20150318,20150711,16,16,11,88.0,,
1155,624,2968,4,20150811,20151204,16,16,9,63.0,,5.0
1156,624,2968,5,20160105,20160430,6,5,5,30.0,,5.0
1157,624,2969,1,20140325,20140719,14,14,11,77.0,244.0,
1158,624,2969,2,20140820,20141214,8,8,8,60.0,,11.0
1159,624,2969,3,20150113,20150509,11,11,10,90.0,,5.0
1160,624,2969,4,20150609,20151001,18,15,10,80.0,,7.0
1161,624,2969,5,20151103,20160226,14,13,7,70.0,,5.0
1162,624,2969,6,20160414,20160806,10,9,10,90.0,,21.0
1163,624,2969,7,20161008,20170201,1,1,5,40.0,,33.0
1164,624,2969,8,20170410,20170804,2,2,7,49.0,,
1165,624,2971,1,20140325,20140718,16,15,10,65.0,244.0,
1166,624,2971,2,20140819,20141212,12,11,10,80.0,,10.0
1167,624,2971,3,20150113,20150508,10,10,9,81.0,,5.0
1168,624,2971,4,20150608,20151001,13,13,10,100.0,,6.0
1169,624,2971,5,20151102,20160225,15,14,10,80.0,,4.0
1170,624,2971,6,20160328,20160723,11,9,8,56.0,,4.0
1171,624,2972,1,20140325,20140719,14,13,0,0.0,244.0,
1172,624,2972,2,20150404,20150729,12,12,10,75.0,,
1173,624,2972,3,20150921,20160114,12,12,12,96.0,,30.0
1174,624,2972,4,20160216,20160610,13,13,10,75.0,,5.0
1175,624,37-30,1,20140709,20141101,13,11,11,66.0,265.0,
1176,624,37-30,2,20150203,20150529,11,9,10,90.0,,76.0
1177,624,37-30,3,20150630,20151024,11,11,11,0.0,,5.0
1178,624,37-30,4,20151123,20160319,12,12,11,99.0,,4.0
1179,624,37-30,5,20160418,20160812,8,8,11,77.0,,4.0
1180,624,37-30,6,20161004,20170129,6,5,9,67.5,,29.0
1181,624,37-30,7,20170228,20170624,16,13,11,77.0,,5.0
1182,624,37-30,8,20170725,20171119,13,13,9,63.0,,5.0
1183,624,37-30,9,20171219,20180413,8,8,9,63.0,,5.0
1184,624,38-4,1,20140703,20141028,13,13,11,66.0,258.0,
1185,624,38-4,2,20141126,20150323,6,6,10,70.0,,7.0
1186,624,38-4,3,20150428,20150821,15,14,10,80.0,,5.0
1187,624,38-4,4,20150922,20160116,12,12,11,88.0,,5.0
1188,624,38-4,5,20160216,20160610,13,13,11,88.0,,5.0
1189,624,38-4,6,20160712,20161104,11,10,13,0.0,,5.0
1190,624,38-4,7,20161206,20170401,10,9,10,70.0,,5.0
1191,624,38-4,8,20170502,20170825,12,12,9,72.0,,12.0
1192,624,38-4,9,20170926,20180120,10,10,10,75.0,,6.0
1193,624,38-4,10,20180219,20180614,14,14,11,77.0,,7.0
1194,624,40-1,1,20150226,20150622,12,11,11,77.0,,
1195,624,40-1,2,20150721,20151113,4,4,5,37.5,,5.0
1196,624,40-47,1,20140702,20141027,14,12,11,71.5,255.0,
1197,624,40-52,1,20140628,20141014,9,9,12,72.0,251.0,
1198,624,40-52,2,20141111,20150306,12,10,11,82.5,,5.0
1199,624,40-52,3,20150407,20150729,13,11,11,82.5,,5.0
1200,624,40-52,4,20150902,20151225,8,8,12,96.0,,11.0
1201,624,40-52,5,20160125,20160519,14,14,12,90.0,,4.0
1202,624,40-52,6,20160620,20161013,13,12,10,75.0,,4.0
1203,624,40-52,7,20161115,20170310,14,13,11,88.0,,5.0
1204,624,40-52,8,20170410,20170804,10,9,9,67.5,,4.0
1205,624,40-52,9,20170904,20171228,9,9,8,60.0,,4.0
1206,624,37-76,1,20140706,20141030,8,8,10,60.0,261.0,
1207,624,37-76,2,20141129,20150324,10,10,10,75.0,,10.0
1208,624,37-76,3,20150428,20150822,11,11,9,76.5,,10.0
1209,624,37-76,4,20150923,20160117,17,16,12,84.0,,6.0
1210,624,37-76,5,20160216,20160610,17,17,11,77.0,,5.0
1211,624,37-76,6,20160712,20161104,7,7,7,56.0,,5.0
1212,624,37-76,7,20161205,20170401,17,17,9,67.5,,4.0
1213,624,37-76,8,20170502,20170825,18,11,9,72.0,,5.0
1214,624,37-76,9,20170925,20180120,14,13,7,56.0,,5.0
1215,624,37-76,10,20180220,20180616,13,10,7,52.5,,5.0
1216,624,37-76,11,20180828,20181221,16,15,5,40.0,,47.0
1217,624,38-86,1,20141110,20150306,13,11,11,88.0,,
1218,624,38-86,2,20150811,20151203,14,13,11,88.0,,
1219,624,38-86,3,20160201,20160526,14,12,12,90.0,,
1220,624,38-86,4,20160625,20161018,5,5,9,72.0,,9.0
1221,624,38-86,5,20170118,20170515,12,11,11,77.0,,69.0
1222,624,38-86,6,20170725,20171114,16,15,11,88.0,,
1223,624,38-86,7,20180604,20180929,12,12,11,0.0,,172.0
1224,624,40-34,1,20140616,20141010,12,12,10,70.0,240.0,
1225,624,40-34,2,20141112,20150308,12,12,11,77.0,,6.0
1226,624,40-34,3,20150409,20150803,12,12,10,70.0,,7.0
1227,624,40-34,4,20150901,20151226,10,10,10,80.0,,5.0
1228,624,40-34,5,20160125,20160520,7,3,9,72.0,,4.0
1229,624,40-34,6,20160620,20161014,12,12,10,75.0,,4.0
1230,624,40-34,7,20161115,20170310,12,12,10,75.0,,5.0
1231,624,40-34,8,20170410,20170802,13,12,10,80.0,,4.0
1232,624,40-34,9,20170904,20171231,14,13,10,85.0,,4.0
1233,624,40-34,10,20180130,20180525,16,15,10,70.0,,5.0
1234,624,40-34,11,20180625,20181018,12,10,6,48.0,,4.0
1235,624,40-34,12,20190330,20190724,7,7,10,70.0,,
1236,624,40-34,13,20190911,20200107,7,7,8,0.0,,
1237,624,40-34,14,20200205,20200530,5,4,0,0.0,,6.0
1238,624,40-83,1,20140619,20141013,11,11,10,60.0,241.0,
1239,624,40-83,2,20141111,20150307,16,16,11,77.0,,5.0
1240,624,40-83,3,20150407,20150730,12,12,9,67.5,,5.0
1241,624,40-83,4,20150901,20151226,15,15,11,77.0,,10.0
1242,624,40-83,5,20160126,20160520,11,10,10,75.0,,5.0
1243,624,40-83,6,20160620,20161013,15,14,10,70.0,,4.0
1244,624,57-45,1,20150904,20151228,12,12,11,77.0,,
1245,624,57-45,2,20160126,20160520,16,16,11,82.5,,5.0
1246,624,57-45,3,20160621,20161014,9,8,11,82.5,,5.0
1247,624,57-45,4,20161115,20170310,16,16,11,77.0,,5.0
1248,624,57-45,5,20170411,20170804,13,12,10,80.0,,5.0
1249,624,57-45,6,20170905,20171229,9,9,9,72.0,,5.0
1250,624,57-45,7,20180130,20180528,4,2,9,63.0,,5.0
1251,624,57-45,8,20180626,20181021,5,5,9,63.0,,5.0
1252,624,57-48,1,20150109,20150506,13,12,10,70.0,246.0,
1253,624,57-48,2,20150608,20151002,7,7,7,56.0,,6.0
1254,624,57-48,3,20151102,20160226,13,13,5,37.5,,4.0
1255,624,57-48,4,20160406,20160730,17,17,12,96.0,,13.0
1256,624,57-48,5,20160913,20170107,14,14,10,70.0,,8.0
1257,624,57-48,6,20170301,20170624,10,9,10,70.0,,27.0
1258,624,57-48,7,20170724,20171117,13,12,11,77.0,,4.0
1259,624,57-48,8,20180130,20180528,2,0,9,63.0,,47.0
1260,624,57-48,9,20180625,20181022,8,8,6,48.0,,4.0
1261,624,57-65,1,20150108,20150502,7,7,7,70.0,244.0,
1262,624,57-65,2,20150903,20151227,12,12,11,77.0,,
1263,624,57-65,3,20160126,20160519,12,12,12,96.0,,5.0
1264,624,57-65,4,20160622,20161015,13,11,11,77.0,,6.0
1265,624,57-65,5,20170320,20170713,5,5,8,64.0,,
1266,624,57-65,6,20170814,20171206,6,6,7,56.0,,4.0
1267,624,57-65,7,20180108,20180504,6,6,9,67.5,,4.0
1268,624,57-65,8,20180605,20180928,16,12,10,0.0,,5.0
1269,624,57-67,1,20150111,20150508,12,11,10,70.0,247.0,
1270,624,57-67,2,20150608,20151002,11,9,9,67.5,,6.0
1271,624,58-01,1,20150608,20150930,13,11,10,75.0,,
1272,624,58-01,2,20151103,20160224,13,13,10,80.0,,5.0
1273,624,58-01,3,20160803,20161125,13,12,10,75.0,,
1274,624,58-11,1,20150315,20150708,12,11,10,85.0,,
1275,624,58-11,2,20150810,20151205,6,6,10,70.0,,4.0
1276,624,58-11,3,20160403,20160727,11,11,6,42.0,,
1277,624,58-11,4,20160821,20161218,6,6,8,56.0,,4.0
1278,624,58-11,5,20170206,20170603,16,13,9,63.0,,14.0
1279,624,58-11,6,20170704,20171029,11,10,6,42.0,,5.0
1280,624,58-11,7,20171128,20180323,6,6,10,70.0,,5.0
1281,624,58-11,8,20180424,20180816,11,10,9,63.0,,5.0
1282,624,58-11,9,20180917,20190110,5,5,7,0.0,,4.0
1283,624,58-11,10,20190429,20190821,9,6,10,70.0,,
1284,624,58-28,1,20150107,20150430,11,11,9,76.5,243.0,
1285,624,58-28,2,20150610,20150929,11,7,4,32.0,,8.0
1286,624,58-28,3,20151103,20160225,15,15,10,75.0,,5.0
1287,624,58-28,4,20160328,20160721,8,7,6,42.0,,4.0
1288,624,58-28,5,20160822,20161215,10,10,8,64.0,,5.0
1289,624,58-28,6,20170116,20170512,10,9,9,63.0,,6.0
1290,624,58-28,7,20170613,20171007,9,5,9,67.5,,5.0
1291,624,58-56,1,20150111,20150505,12,12,10,75.0,245.0,
1292,624,12-35,1,20150809,20151203,13,12,11,77.0,368.0,
1293,624,12-35,2,20160401,20160721,11,11,9,67.5,,
1294,624,12-35,3,20160822,20161214,14,13,10,80.0,,5.0
1295,624,12-35,4,20170616,20171009,10,7,5,37.5,,
1296,624,15-20,1,20150407,20150730,14,14,10,65.0,240.0,
1297,624,15-20,2,20151013,20160205,11,11,11,77.0,,
1298,624,16-07,1,20150405,20150729,13,11,10,70.0,235.0,
1299,624,16-07,2,20151030,20160223,12,12,11,88.0,,
1300,624,16-07,3,20160328,20160720,12,11,12,84.0,,4.0
1301,624,16-07,4,20170206,20170602,13,13,12,84.0,,
1302,624,16-07,5,20170703,20171028,9,9,9,67.5,,4.0
1303,624,17-04,1,20150405,20150802,12,12,10,60.0,235.0,
1304,624,17-04,2,20160122,20160518,14,13,10,80.0,,
1305,624,13-03,1,20150412,20150819,15,14,11,77.0,249.0,
1306,624,13-03,2,20150922,20160116,12,12,12,84.0,,5.0
1307,624,13-03,3,20160216,20160610,15,15,11,77.0,,5.0
1308,624,13-03,4,20160711,20161103,16,16,8,60.0,,10.0
1309,624,13-03,5,20161206,20170331,16,15,8,52.0,,5.0
1310,624,13-03,6,20170502,20170825,7,7,7,56.0,,5.0
1311,624,13-03,7,20170925,20180119,13,11,6,39.0,,5.0
1312,624,13-03,8,20180219,20180614,16,16,9,63.0,,4.0
1313,624,13-03,9,20180716,20181109,12,12,9,0.0,,4.0
1314,624,13-03,10,20181210,20190405,16,14,0,0.0,,4.0
1315,624,15-80,1,20150407,20150805,12,11,9,54.0,237.0,
1316,624,15-80,2,20150924,20160118,19,19,11,82.5,,28.0
1317,624,15-80,3,20160216,20160610,16,13,10,70.0,,5.0
1318,624,15-80,4,20160711,20161103,15,15,10,75.0,,4.0
1319,624,15-80,5,20161206,20170401,6,6,10,70.0,,5.0
1320,624,15-80,6,20170501,20170825,9,5,9,67.5,,4.0
1321,624,15-80,7,20170925,20180120,10,10,10,80.0,,5.0
1322,624,21-34,1,20150403,20150727,17,14,10,75.0,226.0,
1323,624,21-34,2,20150902,20151225,17,17,12,90.0,,11.0
1324,624,21-34,3,20160125,20160525,13,13,11,82.5,,4.0
1325,624,21-34,4,20160620,20161013,18,17,12,84.0,,4.0
1326,624,21-34,5,20161115,20170310,13,13,10,75.0,,8.0
1327,624,21-34,6,20170411,20170804,5,5,9,81.0,,5.0
1328,624,21-34,7,20170904,20171229,12,12,10,80.0,,4.0
1329,624,21-34,8,20180130,20180525,16,15,10,70.0,,5.0
1330,624,21-34,9,20180626,20181018,15,12,10,70.0,,5.0
1331,624,21-34,10,20181120,20190315,8,7,7,49.0,,5.0
1332,624,03-44,1,20150922,20160117,13,13,11,82.5,249.0,
1333,624,03-44,2,20160215,20160609,4,4,11,77.0,,4.0
1334,624,03-44,3,20160712,20161104,9,9,10,90.0,,5.0
1335,624,06-42,1,20150922,20160116,7,7,12,90.0,250.0,
1336,624,06-42,2,20160413,20160806,13,13,10,90.0,,62.0
1337,624,06-42,3,20160913,20170106,14,14,9,81.0,,8.0
1338,624,06-42,4,20170207,20170602,16,15,11,77.0,,5.0
1339,624,06-42,5,20170703,20171027,15,15,8,56.0,,4.0
1340,624,06-42,6,20171127,20180322,18,13,6,42.0,,4.0
1341,624,06-42,7,20180424,20180817,13,12,10,70.0,,5.0
1342,624,06-55,1,20150922,20160114,10,10,10,80.0,249.0,
1343,624,06-55,2,20160216,20160610,12,12,12,60.0,,5.0
1344,624,05-44,1,20150922,20160116,9,9,12,90.0,250.0,
1345,624,05-44,2,20160215,20160607,7,7,10,85.0,,4.0
1346,624,05-44,3,20160707,20161031,10,8,8,80.0,,6.0
1347,624,05-44,4,20161206,20170330,13,10,10,70.0,,5.0
1348,624,05-44,5,20170503,20170827,13,4,9,72.0,,13.0
1349,624,05-44,6,20170925,20180118,12,8,10,75.0,,5.0
1350,624,05-67,1,20150922,20160123,13,13,12,72.0,253.0,
1351,624,05-67,2,20160215,20160609,9,9,7,56.0,,4.0
1352,624,05-67,3,20160711,20161031,14,14,10,85.0,,4.0
1353,624,05-67,4,20161225,20170417,13,12,0,0.0,,24.0
1354,624,003-031A,1,20151029,20160221,11,11,9,90.0,287.0,
1355,624,006-071,1,20160209,20160603,10,10,11,77.0,249.0,
1356,624,006-071,2,20160802,20161125,10,10,10,80.0,,32.0
1357,624,006-071,3,20161228,20170423,11,8,10,70.0,,6.0
1358,624,006-071,4,20170830,20171229,5,5,8,64.0,,
1359,624,006-071,5,20180628,20181024,4,4,9,63.0,,
1360,624,008-022,1,20160209,20160603,13,11,11,77.0,244.0,
1361,624,008-022,2,20160711,20161104,15,13,10,75.0,,10.0
1362,624,008-022,3,20161206,20170402,12,9,10,80.0,,5.0
1363,624,008-022,4,20170502,20170825,11,5,0,0.0,,5.0
1364,624,008-022,5,20170905,20171229,11,9,9,72.0,,8.0
1365,624,008-022,6,20180221,20180616,11,8,9,63.0,,27.0
1366,624,008-022,7,20180716,20181109,13,10,9,0.0,,4.0
1367,624,008-022,8,20181210,20190405,13,10,11,77.0,,4.0
1368,624,011-058,1,20160204,20160528,16,14,11,82.5,231.0,
1369,624,011-058,2,20170621,20171015,11,6,8,68.0,,
1370,624,011-058,3,20171127,20180323,13,11,9,63.0,,4.0
1371,624,012-028,1,20160523,20160914,12,10,8,96.0,,
1372,624,012-052,1,20160614,20161006,16,3,2,10.0,,
1373,624,012-052,2,20170707,20171029,3,2,7,56.0,,
